Target	SeqId	Type	Dilution	RefLog10Median	RefLog10MAD	RefMedian	RefSD
KDEL1	6611-8	Protein	20	2.504313910632205	0.16452232614000062	311.7306754124652	126.4885552213895
CP079	6612-90	Protein	20	2.9417919855248176	0.0922056070287853	895.8981417595976	161.60068903038555
FCRL6	6617-12	Protein	20	3.1831464524700133	0.14689445593389516	1525.0017596034872	561.8998226957129
LIGO1	6620-82	Protein	20	3.7760624177993303	0.1357408979943362	6039.104357117194	1989.4442079213277
REL2	6621-10	Protein	20	3.2266465774957016	0.17628131472201058	1705.277715264535	769.4291658590823
APEL	6622-90	Protein	20	2.740927490171821	0.09448857381276676	548.2727536170673	124.95754363403239
WNT11	6624-94	Protein	20	2.8443016665922385	0.13513854267405967	707.0262501369045	231.48968881296491
ATAD1	6625-31	Protein	20	2.6904579187534736	0.12248973356038698	484.37160785977244	126.71426899215999
CHSTC	6626-81	Protein	20	3.286311471060416	0.11314772172511445	1951.184729187956	524.5849418751809
LIPR1	6627-25	Protein	20	3.488554539188348	0.20152755392985355	3130.8843546022194	1669.3938048292878
HBD-1	6629-3	Protein	0.5	3.80261821166138	0.14376832382094173	6502.663779648866	2239.1946163033035
CO9A1	6631-17	Protein	20	3.0045301465919034	0.08053935231626719	1030.2104120643085	185.3426397389599
UPK3L	6633-43	Protein	20	3.2510476045332943	0.22596346500095188	1794.3441801445197	1135.3119195267905
PolyUbiquitin K48	6641-60	Protein	0.5	3.0142555285083934	0.11831875831244898	1046.3336963701668	309.1110439819076
Periostin	6645-53	Protein	20	3.8358473523068604	0.1207417917867426	6828.70293924624	2026.117175032715
PolyUbiquitin K63	6647-55	Protein	20	3.6404570441497857	0.1206979821752967	4289.929788424158	1216.9715086503716
NET1	6649-51	Protein	20	2.5826054671030185	0.11894337683963108	385.09758222429144	110.04090145770301
PolyUbiquitin K48	6651-74	Protein	0.5	4.508330161165335	0.14566567124593455	31486.74884636484	11026.55773971599
CD47	6653-58	Protein	20	2.886749190421324	0.1235573708262172	764.9378321541047	228.00544182073506
PPBN	6706-18	Protein	20	2.286838540189154	0.20370747069148853	205.21840402848738	104.43807390527583
LRP11	6713-4	Protein	20	3.3908925066064217	0.11224445418136897	2480.641048350701	662.021996519687
PPBN	6715-63	Protein	20	2.458641056604615	0.1431143987782777	297.534234812235	100.02216224456268
TR	6895-1	Protein	20	3.2285375932909988	0.19231405861337025	1771.4704482362242	849.8821123109605
CA162	6896-3	Protein	20	3.558139363203546	0.2751378549802199	3553.194285360816	3119.932581921753
B3GA3	6897-38	Protein	20	2.637758843381957	0.13561190659033184	438.4470933513837	144.7419773746988
PHS2	6899-37	Protein	20	3.155480648617676	0.1376093296555132	1415.5799413019688	474.54764058477707
UB2J1	6900-30	Protein	20	3.107640934620104	0.139305684370431	1330.6600444849712	430.1441049185209
LRRT2	6904-14	Protein	20	2.79912139166384	0.12208061852166363	637.8896406134633	185.39767361192273
TMC5A	6907-17	Protein	20	2.674706423493734	0.1230976847289329	486.75116253950233	138.2169945257897
MGAT2	6909-40	Protein	0.5	3.0133269489759282	0.14261758926143142	1052.9020945401346	361.22557532722703
CLC6A	6911-103	Protein	20	2.0903277894306282	0.14126497565460294	126.69917142998055	42.36779720738865
EFHA2	6912-6	Protein	20	2.4037599507167853	0.12602529117441863	261.1134192041991	76.04803440979524
HMG-2	6913-189	Protein	20	2.419893141495367	0.11319368757763448	269.9775530293657	69.95821157955974
AMGO2	6914-15	Protein	20	3.5777144762273885	0.12388938743870437	3805.165272134878	1140.0793334100874
C16L2	6915-2	Protein	20	2.5353207338945545	0.1847164898351099	340.8453457159958	167.73681511064933
LRRC3	6917-49	Protein	20	2.48068652818792	0.16557758426738944	320.8630672512057	123.87567971235342
CCKN	6918-183	Protein	20	3.0217834959180854	0.13534932679642497	1075.5903842743246	345.6571312228952
HBAZ	6919-3	Protein	0.5	3.1006624730066012	0.11188073691363165	1277.065652731461	336.40968365274483
GFRAL	6920-1	Protein	20	2.9736397763958395	0.10033192338383379	947.678374848749	224.19002242523632
B4GT3	6921-24	Protein	20	2.8488572755024983	0.13024432359692617	729.3013343850646	219.82687574130327
PLOD2	6923-1	Protein	20	3.158395386371878	0.18568285846527788	1427.2529232162344	691.03358918445
SNX8	6925-26	Protein	20	2.9575312717320497	0.18085029938725591	953.4927460143393	459.1461409741576
NDST1	6927-7	Protein	0.5	3.5422264653338873	0.10717136696282781	3499.1045369130024	895.9413230720506
